Word,Count
*,162
is,81
the,78
to,57
a,48
in,45
=,45
of,42
if,39
for,34
},33
{,33
be,32
this,30
we,30
@param,30
and,29
new,28
all,26
,25
+,25
it,24
instruction,22
first,21
return,20
its,19
are,19
/,18
have,18
color,18
then,17
TODO:,17
__instructions.add(this);,16
check,16
block,16
c,14
\,14
If,14
now,14
PHI,14
F2,13
at,13
@return,13
use,12
NOT-FINISHED!!!!@@@@@@@@@@@@@@@@@@@@@@@,12
can,12
not,11
throws,11
__p,11
with,11
or,11
->,11
from,11
Then,11
later,11
variable,11
pointer,10
while,10
Format,10
by,10
assign,10
import,10
that,9
will,9
but,9
|,9
need,9
var,9
create,9
after,9
load,8
buffer,8
writer,8
so,8
public,8
global,8
next,8
R6,8
colors,8
vars,8
CMP,8
no,8
arg2,8
into,8
C,7
edges,7
an,7
as,7
blocks,7
when,7
one,7
get,7
void,7
memory,7
register,7
used,7
\"\\,7
computed,7
case,7
__map2.get(__map1.get(instruction.arg1));,7
same,7
has,7
-,7
else,7
add,7
since,7
right,7
which,7
fix,6
Exception,6
arg1,6
list,6
out,6
address,6
writer.close();,6
ptr,6
\PrintWriter(fileName,\,6
There,6
\"\UTF-8"\);\,6
try,6
Direct,6
instructions,6
put,6
arg0,6
variables,6
because,6
move,6
both,6
F1,6
registers,6
buffer1,6
We,6
type,6
array,6
lex,6
time,6
loop,5
branch,5
phi,5
parser.next();,5
some,5
location,5
dont,5
catch(Exception,5
true;,5
boolean,5
wrong,5
s),5
PHI's,5
false;,5
cluster,5
name,5
alive,5
Parser,5
don't,5
assigned,5
means,5
number,5
parser,5
UnsupportedEncodingException,5
e),5
nodes,5
Lexer(fileName);,5
\FileNotFoundException,\,5
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,5
result,5
basic,5
Indirect,5
store,5
@Test,5
Token,4
output,4
here,4
insert,4
MOVE,4
R5,4
value,4
@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@@,4
!=,4
main,4
sure,4
String,4
find,4
Didn't,4
null),4
mapping,4
code,4
order,4
\optimization,\,4
For,4
pointers,4
correct,4
left,4
error,4
Parser(lex);,4
there,4
These,4
relOp,4
whole,4
Something,4
finished,4
__SEP,4
function,4
shouldnt,4
Special,4
buffer2,4
always,4
BasicBlock,4
advance,4
last,4
neighbors,3
Successfully,3
needed,3
current,3
alrdy,3
writer.println(s,3
(i.e,3
bbs.get(i);,3
for(int,3
statement,3
very,3
Beginning,3
1),3
before,3
universe,3
\"\\n}"\);\,3
valid,3
interference,3
keep,3
chars,3
calling,3
__currToken,3
beginning,3
==,3
test,3
maxColors,3
SSA,3
just,3
do,3
base,3
i++),3
bb,3
i=0;,3
3,3
call,3
arg,3
bbs,3
constant,3
funcCall,3
every,3
2),3
